Отметка времени,מה קבוצת הגיל שלך?,האם עברת לעיר חדשה או שינית סטטוס (לימודים/עבודה/שחרור מהצבא) ב-3 שנים האחרונות ?,"האם חווית קושי ביצירת קשרים שהחמיר בעקבות האירוע ספציפי (מעבר עיר, סיום לימודים וכו')?","בשבוע טיפוסי, כמה פעמים אתה יוצא לפעילות חברתית שאינה קשורה לעבודה/לימודים?",באיזו דרך הכרת הכי הרבה חברים חדשים בתקופה האחרונה?,"כשאתה רוצה לעשות פעילות (כמו ריצה או טניס) ואין לך פרטנר, מה אתה עושה בדרך כלל?",עד כמה קשה לך להגיע לאירוע חברתי או פעילות כשאתה לא מכיר שם אף אחד? ,עד כמה אתה מרגיש שחסרה לך מסגרת שמאפשרת מפגשים ספונטניים סביב תחומי עניין? ,"באיזה תחום הכי היית רוצה למצוא ""שותף"" לפעילות כרגע?","בפעם האחרונה ששקלת להיפגש עם אדם חדש מהאפליקציה כלשהי (לכל מטרה), מה גרם לך להרגיש מספיק בטוח כדי להיפגש?","באיזו תדירות יצא לך להשתמש באפליקציות היכרויות (כמו טינדר/באמבל) פשוט כי הרגשת צורך באינטראקציה חברתית או בשיחה, ולאו דווקא למטרת דייט?","בשבוע טיפוסי, כמה פעמים אתה יוצא לפעילות חברתית שאינה קשורה לעבודה/לימודים?",באיזו דרך הכרת הכי הרבה חברים חדשים בתקופה האחרונה?,"כשאתה רוצה לעשות פעילות (כמו ריצה או טניס) ואין לך פרטנר, מה אתה עושה בדרך כלל?",עד כמה קשה לך להגיע לאירוע חברתי או פעילות כשאתה לא מכיר שם אף אחד? ,עד כמה אתה מרגיש שחסרה לך מסגרת שמאפשרת מפגשים ספונטניים סביב תחומי עניין? ,"באיזה תחום הכי היית רוצה למצוא ""שותף"" לפעילות כרגע?","בפעם האחרונה ששקלת להיפגש עם אדם חדש מהאפליקציה כלשהי (לכל מטרה), מה גרם לך להרגיש מספיק בטוח כדי להיפגש?","האם יצא לך להשתמש באפליקציות היכרויות (כמו טינדר/באמבל) פשוט כי הרגשת צורך באינטראקציה חברתית או בשיחה, ולאו דווקא למטרת דייט?"
14.01.2026 22:07:22,20 - 25,כן,לא,1-2,דרך חברים קיימים,הולך לבד,3,3,ספורט,"ראיתי שיש לנו חברים משותפים, דיברנו קודם בטלפון/וידאו",לא,,,,,,,,
14.01.2026 22:08:42,26-30,כן,לא,1-2,אחר,הולך לבד,5,3,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
14.01.2026 22:20:03,26-30,כן,לא,1-2,"דרך חברים קיימים, אחר",הולך לבד,2,1,,,לא,,,,,,,,
14.01.2026 22:25:15,26-30,כן,לא,3 +,"דרך חברים קיימים, אחר",הולך לבד,3,2,תחביב יצירתי אחר,"ראיתי שיש לנו חברים משותפים, הפרופיל שלו נראה אמיתי ומפורט, דיברנו קודם בטלפון/וידאו",לא,,,,,,,,
14.01.2026 22:41:05,26-30,כן,לא,1-2,דרך חברים קיימים,הולך לבד,2,3,לימודים,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
14.01.2026 23:00:24,36+,לא,,,,,,,,,,1-2,אחר,אחר,3,1,,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
14.01.2026 23:22:17,26-30,כן,לא,1-2,דרך חברים קיימים,מחפש בקבוצות ווטסאפ/פייסבוק,5,4,ספורט,ראיתי שיש לנו חברים משותפים,לא,,,,,,,,
14.01.2026 23:31:30,26-30,כן,כן,1-2,אחר,מוותר,5,2,לימודים,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 7:00:28,26-30,כן,כן,1-2,דרך חברים קיימים,הולך לבד,5,2,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 7:07:09,36+,לא,,,,,,,,,,0,דרך חברים קיימים,הולך לבד,2,5,תחביב יצירתי אחר,הפרופיל שלו נראה אמיתי ומפורט,לא
15.01.2026 8:04:06,26-30,כן,לא,1-2,"דרך חברים קיימים, אחר",לא עושה פעילויות כאלו,4,1,לימודים,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 12:17:23,36+,לא,,,,,,,,,,1-2,חוגים/ספורט,מחפש בקבוצות ווטסאפ/פייסבוק,3,3,תחביב יצירתי אחר,"הפרופיל שלו נראה אמיתי ומפורט, דיברנו קודם בטלפון/וידאו",לא
15.01.2026 13:40:52,20 - 25,כן,לא,1-2,אחר,הולך לבד,3,3,ספורט,דיברנו קודם בטלפון/וידאו,לא,,,,,,,,
15.01.2026 14:25:32,36+,לא,,,,,,,,,,1-2,אחר,הולך לבד,3,3,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 14:29:21,36+,לא,,,,,,,,,,1-2,דרך חברים קיימים,מוותר,5,1,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 14:32:58,36+,לא,,,,,,,,,,3 +,אחר,אחר,3,2,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 14:34:50,36+,לא,,,,,,,,,,1-2,אחר,הולך לבד,2,3,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 14:35:05,36+,כן,לא,1-2,דרך חברים קיימים,לא עושה פעילויות כאלו,2,1,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 14:39:02,26-30,כן,לא,1-2,"דרך חברים קיימים, אחר",לא עושה פעילויות כאלו,3,2,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 14:39:44,36+,לא,,,,,,,,,,1-2,רשתות חברתיות,הולך לבד,4,2,לימודים,ראיתי שיש לנו חברים משותפים,לא
15.01.2026 14:44:34,36+,לא,,,,,,,,,,3 +,אחר,מחפש בקבוצות ווטסאפ/פייסבוק,3,3,,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 14:45:52,26-30,כן,לא,1-2,"דרך חברים קיימים, משחקי מחשב, אחר",הולך לבד,3,2,תחביב יצירתי אחר,דיברנו קודם בטלפון/וידאו,לא,,,,,,,,
15.01.2026 14:50:23,31-35,לא,,,,,,,,,,1-2,אחר,מוותר,4,1,תחביב יצירתי אחר,"ראיתי שיש לנו חברים משותפים, דיברנו קודם בטלפון/וידאו",לא
15.01.2026 15:17:22,36+,לא,,,,,,,,,,0,אחר,לא עושה פעילויות כאלו,1,3,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 15:44:54,36+,לא,,,,,,,,,,1-2,דרך חברים קיימים,מוותר,3,5,,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,
15.01.2026 16:35:36,36+,לא,,,,,,,,,,1-2,אחר,הולך לבד,2,2,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 17:08:31,20 - 25,כן,כן,1-2,דרך חברים קיימים,הולך לבד,3,5,תחביב יצירתי אחר,,לא,,,,,,,,
15.01.2026 17:11:00,36+,לא,,,,,,,,,,1-2,"דרך חברים קיימים, חוגים/ספורט",מוותר,2,4,ספורט,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 17:19:01,36+,כן,לא,1-2,חוגים/ספורט,הולך לבד,1,1,לימודים,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 17:32:18,26-30,כן,לא,0,משחקי מחשב,מוותר,5,2,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 18:49:02,36+,לא,,,,,,,,,,1-2,"אפליקציות, דרך חברים קיימים",הולך לבד,4,3,ספורט,"ראיתי שיש לנו חברים משותפים, הפרופיל שלו נראה אמיתי ומפורט",כן
15.01.2026 18:50:53,36+,כן,כן,0,דרך חברים קיימים,מוותר,5,5,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 19:01:55,36+,לא,,,,,,,,,,1-2,אחר,הולך לבד,3,1,ספורט,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
15.01.2026 19:17:47,20 - 25,כן,לא,0,אחר,לא עושה פעילויות כאלו,4,4,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
15.01.2026 21:42:36,36+,לא,,,,,,,,,,1-2,דרך חברים קיימים,הולך לבד,4,2,ספורט,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
